tree_ID,meas_seq,Site,Col,Row,Rep,Blk,Seedlot,Tree,HT3,Dam3,HT6,Dam6,Comment6,HT10,Dam10,Comment10
36252,3348,Naku,43,60,2,2,348,4,39,k,105,,,,,
37942,942,Pars,83,8,4,12,348,3,16,,74,c,chk prev,,,chk
40070,3070,Pars,3,24,7,14,348,3,22,,72,,,191,,
37292,292,Pars,36,3,3,10,348,4,32,,63,,,144,,
37290,290,Pars,34,3,3,10,348,2,33,,67,,,160,,
40998,3998,Pars,99,32,1,15,348,3,40,,64,,,150,,
38561,1561,Pars,25,13,8,11,348,1,40,,45,c d,poor,,,
38562,1562,Pars,26,13,8,11,348,2,42,,68,,,128,,
38563,1563,Pars,27,13,8,11,348,3,42,,72,,,168,,
40200,3200,Pars,128,25,6,7,348,4,42,,100,,,198,,
38564,1564,Pars,28,13,8,11,348,4,45,,98,,,258,,
40997,3997,Pars,100,32,1,15,348,4,47,,74,,,217,,
38608,1608,Pars,72,13,2,15,348,4,53,,97,,,231,,
37943,943,Pars,82,8,4,12,348,2,53,,43,c d,poor,,,
37944,944,Pars,81,8,4,12,348,1,56,,75,d,,127,,
38076,1076,Pars,52,9,5,11,348,4,56,,86,,,148,,
40198,3198,Pars,126,25,6,7,348,2,56,,109,,,305,,
37289,289,Pars,33,3,3,10,348,1,57,,78,,,187,,
38607,1607,Pars,71,13,2,15,348,3,57,,78,w,,201,k,
40999,3999,Pars,98,32,1,15,348,2,57,,100,,,218,,
40071,3071,Pars,2,24,7,14,348,2,57,,114,,,304,,
38605,1605,Pars,69,13,2,15,348,1,58,,184,,,328,,
38606,1606,Pars,70,13,2,15,348,2,59,,114,,,251,,
38074,1074,Pars,50,9,5,11,348,2,60,,108,,,194,,
38073,1073,Pars,49,9,5,11,348,1,60,,130,,,241,w,
40069,3069,Pars,4,24,7,14,348,4,60,,165,,,285,,
40199,3199,Pars,127,25,6,7,348,3,61,,109,,,222,,
40072,3072,Pars,1,24,7,14,348,1,63,,,,,,,
38075,1075,Pars,51,9,5,11,348,3,64,,128,,,275,,
40197,3197,Pars,125,25,6,7,348,1,70,,184,,,320,,
41000,4000,Pars,97,32,1,15,348,1,86,,143,,,290,,
37941,941,Pars,84,8,4,12,348,4,21,g,37,,,,,
37291,291,Pars,35,3,3,10,348,3,32,k,53,,,109,,
42703,1607,Pine,71,13,1,8,348,3,37,,57,,,171,,
42728,1632,Pine,96,13,2,15,348,4,40,,101,,,218,,
44537,3441,Pine,113,27,4,6,348,1,40,,90,,,234,,
42704,1608,Pine,72,13,1,8,348,4,43,,70,,,153,,
44457,3361,Pine,33,27,3,6,348,1,44,,86,,,200,,
45436,4340,Pine,13,34,6,7,348,1,45,,87,,,194,,
44185,3089,Pine,17,25,8,7,348,1,45,,138,,,255,,
44539,3443,Pine,115,27,4,6,348,3,46,,76,,,194,,
44459,3363,Pine,35,27,3,6,348,3,47,,83,,,165,,
42701,1605,Pine,69,13,1,8,348,1,47,,67,,,169,,
43809,2713,Pine,104,22,7,9,348,4,48,,71,k,,166,,
42726,1630,Pine,94,13,2,15,348,2,49,,87,,,209,,
44188,3092,Pine,20,25,8,7,348,4,50,,140,,,248,k/w,
44186,3090,Pine,18,25,8,7,348,2,50,,114,,,266,,
42725,1629,Pine,93,13,2,15,348,1,52,,120,,,261,,
45434,4338,Pine,15,34,6,7,348,3,53,,110,,,210,,
45433,4337,Pine,16,34,6,7,348,4,54,,96,,,208,,
42727,1631,Pine,95,13,2,15,348,3,54,,134,,,311,,
43810,2714,Pine,103,22,7,9,348,3,55,,93,,,237,,
43811,2715,Pine,102,22,7,9,348,2,60,,70,,,178,,
44460,3364,Pine,36,27,3,6,348,4,65,,106,,,178,k/w,
43962,2866,Pine,50,23,5,10,348,2,26,d,56,,,176,,
43812,2716,Pine,101,22,7,9,348,1,32,d,87,,,186,,
44538,3442,Pine,114,27,4,6,348,2,40,d,87,,,192,,
44458,3362,Pine,34,27,3,6,348,2,42,d,96,,,245,,
42702,1606,Pine,70,13,1,8,348,2,28,d k,51,,,165,,
44540,3444,Pine,116,27,4,6,348,4,35,d k,85,,,184,,
43963,2867,Pine,51,23,5,10,348,3,34,g,54,,,128,,
43961,2865,Pine,49,23,5,10,348,1,,g,,,,,,
43964,2868,Pine,52,23,5,10,348,4,27,g d,50,,,121,,
45435,4339,Pine,14,34,6,7,348,2,48,k,72,,,147,,
44187,3091,Pine,19,25,8,7,348,3,31,t,84,,,167,,
47182,1478,Reve,27,34,8,13,348,3,35,,101,,,148,w,
48592,2888,Reve,40,63,3,10,348,4,36,,98,,,168,,
48571,2867,Reve,19,63,1,15,348,3,42,,68,c,,,,
48463,2759,Reve,7,61,2,13,348,3,45,,123,,,188,w,
48786,3082,Reve,42,67,4,15,348,2,46,,87,,,110,,
48591,2887,Reve,39,63,3,10,348,3,46,,89,,,143,,
47203,1499,Reve,6,34,5,9,348,2,49,,115,,,211,,
47183,1479,Reve,26,34,8,13,348,2,54,,,,,,,
48787,3083,Reve,43,67,4,15,348,3,55,,94,,,124,,
48572,2868,Reve,20,63,1,15,348,4,55,,93,,,141,,
47204,1500,Reve,5,34,5,9,348,1,57,,152,,,,,
47184,1480,Reve,25,34,8,13,348,1,59,,122,s,,208,,
48590,2886,Reve,38,63,3,10,348,2,60,,109,,,169,,
49055,3351,Reve,23,73,7,16,348,3,63,,141,,,,,
49053,3349,Reve,21,73,7,16,348,1,65,,126,,,181,wk,
48785,3081,Reve,41,67,4,15,348,1,66,,113,,,164,,
48589,2885,Reve,37,63,3,10,348,1,67,,117,,,193,,
48464,2760,Reve,8,61,2,13,348,4,69,,147,,,189,,
48569,2865,Reve,17,63,1,15,348,1,69,,146,,,218,,
49054,3350,Reve,22,73,7,16,348,2,71,,141,,,,,
47202,1498,Reve,7,34,5,9,348,3,79,,162,,,272,,
48461,2757,Reve,5,61,2,13,348,1,81,,172,,,213,,
47201,1497,Reve,8,34,5,9,348,4,,,,,,,,
47338,1634,Reve,34,37,6,6,348,2,,,,,,,,
47339,1635,Reve,35,37,6,6,348,3,,,,,,,,
47340,1636,Reve,36,37,6,6,348,4,,,,,,,,
47181,1477,Reve,28,34,8,13,348,4,,,,,,,,
53487,3687,Skim,29,103,2,10,348,3,32,,83,,,174,k,
53811,4011,Skim,32,86,1,16,348,2,32,,83,,,199,,
53692,3892,Skim,31,52,8,14,348,4,46,,106,w k,,248,,
52334,2534,Skim,20,27,4,14,348,3,49,,130,,,217,i,
52402,2602,Skim,21,42,3,15,348,2,50,,131,,,243,,
52429,2629,Skim,21,69,5,1,348,1,54,,128,,,230,,
53486,3686,Skim,29,102,2,10,348,2,57,,162,,,257,i,
50445,645,Skim,6,124,6,1,348,4,58,,112,d,,167,i,
53690,3890,Skim,31,50,8,14,348,2,60,,152,,,253,,
53809,4009,Skim,32,88,1,16,348,4,61,,156,d,,296,i k,
52430,2630,Skim,21,70,5,1,348,2,64,,154,,,281,,
53812,4012,Skim,32,85,1,16,348,1,73,,185,,,304,i,
52404,2604,Skim,21,44,3,15,348,4,76,,135,k,,242,,
52333,2533,Skim,20,28,4,14,348,4,77,,169,,,293,,
52431,2631,Skim,21,71,5,1,348,3,82,,196,,,351,,
50320,520,Skim,5,8,7,15,348,4,82,,174,,,384,,
52335,2535,Skim,20,26,4,14,348,2,86,,164,,,260,i,
52336,2536,Skim,20,25,4,14,348,1,86,,197,,,344,,
50317,517,Skim,5,5,7,15,348,1,92,,134,w k,,248,k,
52403,2603,Skim,21,43,3,15,348,3,97,,188,,,267,i,
50318,518,Skim,5,6,7,15,348,2,99,,170,w k,,364,,
53689,3889,Skim,31,49,8,14,348,1,45,k,132,,,303,,
53810,4010,Skim,32,87,1,16,348,3,49,k,93,k,,182,,
50319,519,Skim,5,7,7,15,348,3,69,k,142,w,,256,i,
50447,647,Skim,6,122,6,1,348,2,23,T,84,,,134,,
53691,3891,Skim,31,51,8,14,348,3,42,T,136,,,214,i,
52401,2601,Skim,21,41,3,15,348,1,44,T,80,,,150,,
52432,2632,Skim,21,72,5,1,348,4,46,T,108,k,,232,,
53488,3688,Skim,29,104,2,10,348,4,46,T,142,,,267,,
50448,648,Skim,6,121,6,1,348,1,58,T,108,,,183,,
53485,3685,Skim,29,101,2,10,348,1,65,T,102,w k,,189,i,
50446,646,Skim,6,123,6,1,348,3,51,T k,117,k,,200,k,
